4.0,4.666666666666667,5.333333333333333,6.0,6.666666666666666,7.333333333333333,8.0,8.666666666666666,9.333333333333332,10.0,10.666666666666666,11.333333333333332,12.0,12.666666666666666,13.333333333333332,14.0,14.666666666666666,15.333333333333332,16.0,16.666666666666664,17.333333333333332,18.0,18.666666666666664,19.333333333333332,20.0
0.0,0.25,0.5,0.75,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25,3.5,3.75,4.0,4.25,4.5,4.75,5.0,5.25,5.5,5.75,6.0
DC_size, DC_shift, sort_size, sort_shift, number_of_rides
10.666666666666666,3.25,21.333333333333332,0,2455
10.666666666666666,3.5,21.333333333333332,0,2175
10.666666666666666,3.75,21.333333333333332,0,2231
10.666666666666666,4.0,21.333333333333332,0,2247
10.666666666666666,4.25,21.333333333333332,0,2222
10.666666666666666,4.5,21.333333333333332,0,2277
10.666666666666666,4.75,21.333333333333332,0,2392
10.666666666666666,5.0,21.333333333333332,0,2626
10.666666666666666,5.25,21.333333333333332,0,2712
10.666666666666666,5.5,21.333333333333332,0,2577
10.666666666666666,5.75,21.333333333333332,0,2604
10.666666666666666,6.0,21.333333333333332,0,2383
11.333333333333332,0.0,22.666666666666664,0,1364
11.333333333333332,0.25,22.666666666666664,0,1845
11.333333333333332,0.5,22.666666666666664,0,2064
11.333333333333332,0.75,22.666666666666664,0,2282
11.333333333333332,1.0,22.666666666666664,0,2505
11.333333333333332,1.25,22.666666666666664,0,2725
11.333333333333332,1.5,22.666666666666664,0,2582
11.333333333333332,1.75,22.666666666666664,0,2547
11.333333333333332,2.0,22.666666666666664,0,2590
11.333333333333332,2.25,22.666666666666664,0,2764
11.333333333333332,2.5,22.666666666666664,0,2848
11.333333333333332,2.75,22.666666666666664,0,3105
11.333333333333332,3.0,22.666666666666664,0,3155
11.333333333333332,3.25,22.666666666666664,0,2399
11.333333333333332,3.5,22.666666666666664,0,2442
11.333333333333332,3.75,22.666666666666664,0,2252
11.333333333333332,4.0,22.666666666666664,0,2188
11.333333333333332,4.25,22.666666666666664,0,2266
11.333333333333332,4.5,22.666666666666664,0,2386
11.333333333333332,4.75,22.666666666666664,0,2265
11.333333333333332,5.0,22.666666666666664,0,2305
11.333333333333332,5.25,22.666666666666664,0,2647
11.333333333333332,5.5,22.666666666666664,0,2708
11.333333333333332,5.75,22.666666666666664,0,2624
11.333333333333332,6.0,22.666666666666664,0,2580
12.0,0.0,24.0,0,1357
12.0,0.25,24.0,0,1734
12.0,0.5,24.0,0,2097
12.0,0.75,24.0,0,2268
12.0,1.0,24.0,0,2466
12.0,1.25,24.0,0,2707
12.0,1.5,24.0,0,2883
12.0,1.75,24.0,0,2512
12.0,2.0,24.0,0,2677
12.0,2.25,24.0,0,2672
12.0,2.5,24.0,0,2861
12.0,2.75,24.0,0,3007
12.0,3.0,24.0,0,3189
12.0,3.25,24.0,0,2717
12.0,3.5,24.0,0,2453
12.0,3.75,24.0,0,2479
12.0,4.0,24.0,0,2249
12.0,4.25,24.0,0,2308
12.0,4.5,24.0,0,2252
12.0,4.75,24.0,0,2340
12.0,5.0,24.0,0,2342
12.0,5.25,24.0,0,2237
12.0,5.5,24.0,0,2582
12.0,5.75,24.0,0,2728
12.0,6.0,24.0,0,2638
12.666666666666666,0.0,25.333333333333332,0,1463
12.666666666666666,0.25,25.333333333333332,0,1821
12.666666666666666,0.5,25.333333333333332,0,2025
12.666666666666666,0.75,25.333333333333332,0,2220
12.666666666666666,1.0,25.333333333333332,0,2403
12.666666666666666,1.25,25.333333333333332,0,2629
12.666666666666666,1.5,25.333333333333332,0,2833
12.666666666666666,1.75,25.333333333333332,0,2536
12.666666666666666,2.0,25.333333333333332,0,2506
12.666666666666666,2.25,25.333333333333332,0,2715
12.666666666666666,2.5,25.333333333333332,0,2731
12.666666666666666,2.75,25.333333333333332,0,2753
12.666666666666666,3.0,25.333333333333332,0,3056
12.666666666666666,3.25,25.333333333333332,0,3162
12.666666666666666,3.5,25.333333333333332,0,2684
12.666666666666666,3.75,25.333333333333332,0,2564
12.666666666666666,4.0,25.333333333333332,0,2513
12.666666666666666,4.25,25.333333333333332,0,2230
12.666666666666666,4.5,25.333333333333332,0,2302
12.666666666666666,4.75,25.333333333333332,0,2248
12.666666666666666,5.0,25.333333333333332,0,2345
12.666666666666666,5.25,25.333333333333332,0,2369
12.666666666666666,5.5,25.333333333333332,0,2136
12.666666666666666,5.75,25.333333333333332,0,2480
12.666666666666666,6.0,25.333333333333332,0,2656
13.333333333333332,0.0,26.666666666666664,0,1356
13.333333333333332,0.25,26.666666666666664,0,1817
13.333333333333332,0.5,26.666666666666664,0,2079
13.333333333333332,0.75,26.666666666666664,0,2247
13.333333333333332,1.0,26.666666666666664,0,2437
13.333333333333332,1.25,26.666666666666664,0,2708
13.333333333333332,1.5,26.666666666666664,0,2994
13.333333333333332,1.75,26.666666666666664,0,2829
